1	1253376 1417216 1757184 3592192 4800512
2	1007616 1396736 1757184 2732032 4546560
3	1007616 1142784 1724416 3223552 282628096
4	1007616 1138688 1740800 3223552 285192192
5	1052672 1142784 1765376 3858432 285163520
6	1015808 1138688 1765376 3858432 285999104
7	1015808 1212416 1765376 3858432 286244864
8	1056768 1212416 1773568 3858432 286031872
9	1056768 1744896 1794048 3858432 286269440
10	1056768 1765376 1794048 3989504 286400512
11	1056768 1765376 1781760 3989504 286162944
12	1089536 1765376 1781760 3989504 286392320
13	1081344 1765376 2007040 3989504 286416896
14	1081344 1765376 2048000 3989504 286515200
15	1081344 1765376 2048000 3989504 286666752
16	1081344 1765376 1933312 3989504 286515200
17	1081344 1765376 2064384 3989504 286502912
18	1081344 1765376 1937408 3989504 286736384
19	1081344 1765376 1937408 3989504 286584832
20	1081344 1765376 1937408 3862528 286695424
21	1081344 1753088 1937408 3862528 286670848
22	1081344 1753088 1937408 3862528 286666752
23	1081344 1753088 1937408 3862528 286650368
24	1081344 1753088 1937408 3862528 286621696
25	1081344 1753088 1937408 3862528 286724096
26	1081344 1753088 1937408 3862528 286638080
27	1081344 1753088 1937408 3862528 286740480
28	1081344 1757184 1937408 3862528 286720000
29	1081344 1757184 1937408 3862528 286568448
30	1081344 1757184 1937408 3862528 286539776
31	1081344 1757184 1937408 3862528 286773248
32	1081344 1757184 1937408 3862528 286625792
33	1081344 1757184 1937408 3862528 286732288
34	1081344 1757184 1937408 3862528 286728192
35	1081344 1757184 1937408 3862528 286617600
36	1081344 1757184 1937408 3862528 286593024
37	1081344 1757184 1937408 3862528 286703616
38	1081344 1757184 1937408 3862528 286683136
39	1081344 1757184 1937408 3862528 286785536
40	1081344 1757184 1937408 3862528 286793728
41	1081344 1757184 1937408 3862528 286642176
42	1081344 1757184 1937408 3862528 286744576
43	1081344 1757184 1937408 3862528 286584832
44	1081344 1757184 1937408 3862528 286560256
45	1081344 1757184 1937408 3862528 286535680
46	1081344 1757184 1937408 3862528 286511104
47	1081344 1757184 1937408 3862528 286486528
48	1081344 1757184 1937408 3862528 286453760
49	1081344 1757184 1937408 3862528 286429184
50	1081344 1757184 1937408 3862528 286396416
51	1081344 1757184 1937408 3862528 286367744
52	1081344 1757184 1937408 3862528 286343168
53	1081344 1757184 1937408 3862528 286314496
