1	9064903 9408080 9625121 30697137 39382459
2	143502 499415 771210 24740810 154388276
3	1019769 1239902 1426208 22750183 791684611
4	598216 1247873 19157668 145413826 520318162
5	633351 1293476 15683087 130352135 381094915
6	711244 1405666 17080022 349128870 1091435652
7	641307 1769721 15293347 369136773 1211596708
8	736783 1265757 14967779 396345232 1236998135
9	134637 827735 20199881 402717329 1201003351
10	271127 11766600 34676731 365917368 1170468171
11	529849 14641731 118706513 417757562 1100895886
12	670699 13568049 88850473 328563790 935026214
13	158148 12397046 87235837 259631841 1217944343
14	521037 13095026 105169166 297086247 1244032346
15	733184 13742239 123243903 308257722 1213406774
16	657621 14299218 97856003 331932291 1185792981
17	762574 12693762 109823499 309395245 1148958858
18	728829 13241322 118755194 294354499 1215347454
19	689458 12784717 121870138 321147570 1227323565
20	697098 13983791 115191729 309734915 1172982786
21	653669 13798216 114019150 302355832 1219532287
22	567535 13823770 111900706 312900220 1205726315
23	845761 15474827 103446885 303063387 1172738668
24	731631 14531305 125522065 285618266 1160208380
25	611194 19019738 126178435 312958187 1137662563
26	556205 12726496 121921435 324386674 1179508882
27	717547 13683338 160489929 340486310 1141618139
28	679475 14717501 157644828 427184550 1159380384
29	611148 13637999 147232971 444079076 1160922207
30	680351 13674637 129097919 364679125 1153654693
31	651725 16807945 134270576 405247953 1157262726
32	700167 13869422 127278246 402497148 1148085418
33	678916 14518804 132905657 339197064 1146937088
34	776938 15087023 132353565 322654968 1244458836
35	638185 14950662 128153592 327364934 1223689731
36	723105 13053963 137619104 395017257 1204134234
37	734247 16224685 141688853 488244090 1214513505
38	635713 12788055 138255915 441531729 1242892106
39	623197 14259569 145546053 467810214 1172266925
40	752422 15393251 123314760 518814145 1155647971
41	613623 13430332 128477152 493923615 1186856925
42	680904 18349440 134719894 505775030 1222692950
43	763128 14129355 153817693 523613263 1181820691
44	576300 13671431 137711880 434707038 1163793857
45	768349 15300633 154557391 478956058 1128720772
46	714213 14067286 143726341 492943801 1193543740
47	688078 12994335 140141882 531821618 1175593429
48	682949 14441179 146240908 517454890 1169318482
49	689001 14671018 137043646 548782743 1179082086
50	688110 12621380 137635185 511091599 1167067492
51	732288 14741925 143605333 511055668 1216012006
52	753965 19005985 137063123 514671636 1167895836
53	646613 16479955 135918431 506699517 1205077712
54	606325 13747870 142174337 502190882 1217512443
55	661412 14734395 129895774 505296713 1186436969
56	731515 15240278 129168372 499550638 1183607304
57	774557 14353706 129525575 497228584 1142921318
58	692741 13749388 137389529 515100333 1153958902
59	712099 13286122 137747858 449221512 1182355610
60	709145 16422596 131625930 459857390 1166009921
61	724899 13166237 142421948 464534600 1164336537
62	690589 14585053 145449733 487325797 1210890370
63	717450 12215983 124219006 512905430 1207045082
64	747681 14863107 131835869 466776464 1171755226
65	606921 13201863 105913273 531685772 1221909823
66	707004 13883646 122884522 528386736 1180482384
67	646808 14148469 122495507 423204066 1242736795
68	715233 14108930 132406053 468548999 1162839325
69	670315 14274521 136007131 428678238 1186746521
70	848704 13715629 146466700 388066601 1115837914
71	592630 13876489 145953933 402827514 1139835765
72	626949 13569616 121748911 447151950 1200589890
73	570502 15506066 135968255 509318678 1213815540
74	746033 13023865 126936944 504515602 1224220584
75	701372 13779342 108777698 500071447 1224016903
76	760010 12525795 127678604 472303740 1243886439
77	657535 14789454 126637675 497556731 1184987786
78	745642 12771660 129869053 442996559 1228145964
79	629200 15078860 126024699 408548986 1238960647
80	744017 12578874 137197609 440973599 1234681388
81	778195 14288060 140531229 450533815 1209008219
82	619977 14158413 143860195 448563420 1220029710
83	611443 13657160 124936404 480743909 1208505073
84	738937 14063694 144522624 490774235 1184831866
85	764525 13127144 141471978 525187116 1224241669
86	690250 13954543 139060944 520020053 1187483019
87	782454 15085807 136479186 474062078 1212486468
88	681740 16212497 146476725 517256265 1215821075
