1	119
2	570
3	2.1000000000001e+16
4	987
5	36000000001819
6	1976
7	1658
8	1893
9	42000000002129
10	2063
11	2187
12	2018
13	2330
14	2222
15	2489
16	2117
17	2258
18	2000
19	2094
20	2274
21	2282
22	2287
23	2262
24	2320
25	2159
26	2016
27	2163
28	2094
29	2231
30	2384
31	2391
32	1990
33	2295
34	2251
35	2133
36	2462
37	2376
38	2199
39	2140
40	2119
41	2097
42	1963
43	2241
44	2420
45	2471
46	2196
47	2293
48	2345
49	2145
50	1991
51	2083
52	2306
53	2561
54	2240
55	2257
56	2524
57	2406
58	2087
59	2343
60	2337
61	2450
62	2180
63	2244
64	2370
65	1896
66	2171
67	2399
68	2072
69	2257
70	2375
71	2352
72	2160
73	2317
74	2039
75	2271
76	2218
77	2267
78	2378
79	2265
80	2378
81	1991
82	2611
83	2321
84	2110
85	2315
86	2106
87	1956
88	2110
89	2370
90	2465
91	2153
92	2348
93	2325
94	2163
95	2399
96	2091
97	2379
98	2151
99	2330
100	2235
101	2182
102	2328
103	2300
104	2335
105	2083
106	2426
107	2295
108	2231
109	2144
110	2375
111	2062
112	2108
113	2300
114	2358
115	2166
116	2038
117	2193
118	2117
119	2090
120	2261
121	2289
122	2184
123	1945
124	2204
125	2187
126	2394
127	2110
128	2238
129	2276
130	2356
131	2166
132	2173
133	2242
134	2233
135	2380
136	1978
137	2190
138	2211
139	2097
140	2293
141	2379
142	2581
143	2270
144	2394
145	2036
146	2353
147	2519
148	1966
149	2175
150	2401
151	2108
152	1935
153	2380
154	2042
155	2334
156	2176
157	2382
158	2314
159	2392
160	2293
161	2332
162	2334
163	2155
164	2382
165	2251
166	2280
167	2194
168	2358
169	2681
170	2148
171	2379
172	2110
173	2380
174	2094
175	2362
176	2296
177	2455
178	1898
179	2053
180	2303
181	2004
182	2339
183	2207
184	1996
185	2479
186	2291
187	2027
188	2335
189	2117
190	1670
191	2283
192	2285
193	2195
194	2249
195	2152
196	2170
197	1904
198	2375
199	2133
200	2284
201	2082
202	2331
203	2523
204	2311
205	2342
206	2173
207	2086
208	2102
209	2205
210	2274
211	2276
212	2586
213	2157
214	2264
215	2329
216	2126
217	2227
218	2073
219	2311
220	2462
221	2033
222	1966
223	2361
224	2191
225	2245
226	2043
227	2235
228	2379
229	2317
230	2013
231	2399
232	2179
233	2203
234	2353
235	2206
236	2289
237	2342
238	2221
239	2396
240	2307
241	2159
242	2175
243	2504
244	2130
245	2353
246	2331
247	2291
248	2278
249	2356
250	2125
251	2358
252	2232
253	2154
254	2193
255	2508
256	2458
257	1966
258	2287
259	2492
260	2404
261	2253
262	2370
263	2249
264	2205
265	2170
266	2303
267	2268
268	2161
269	2294
270	2352
271	2205
272	1898
273	2316
274	2318
275	2334
276	2149
277	1961
278	2073
279	1918
280	2327
281	2243
282	2126
283	2195
284	2218
285	2356
286	2049
287	2279
288	2221
289	2035
290	2318
291	1993
292	2019
293	1941
294	1354
295	685
296	599
297	479
298	473
299	360
300	176
301	2
