1	989184 1396736 3035136 4173824 7303168
2	1187840 2760704 3985408 6356992 55914496
3	1138688 3821568 5693440 8388608 285470720
4	1019904 4214784 6086656 283770880 289267712
5	1019904 4476928 5894144 283992064 289468416
6	1019904 4739072 5775360 283963392 289177600
7	1019904 4632576 5775360 284086272 289300480
8	1040384 5025792 5775360 284082176 289427456
9	1040384 5287936 6684672 283959296 289415168
10	1015808 5550080 6664192 284086272 289288192
11	1015808 5685248 6418432 284094464 289288192
12	1040384 5947392 6549504 283967488 289300480
13	1064960 6340608 6467584 284094464 289538048
14	1064960 6443008 6729728 284086272 289677312
15	1064960 6443008 7000064 283963392 289411072
16	1064960 6447104 7262208 284209152 289427456
17	1064960 6447104 7524352 284073984 289333248
18	1064960 6447104 7786496 284065792 289296384
19	1064960 6578176 8056832 284065792 289296384
20	1064960 6451200 8318976 284049408 289427456
21	1064960 6451200 8695808 283840512 289280000
22	1064960 6451200 8966144 283967488 289402880
23	1064960 6451200 9236480 284082176 289406976
24	1064960 6451200 9498624 284069888 289267712
25	1064960 6451200 9760768 283959296 289390592
26	1064960 6451200 10022912 284094464 289370112
27	1064960 6451200 10285056 283840512 289357824
28	1064960 6451200 10670080 284090368 289218560
29	1064960 6451200 10940416 283942912 289533952
30	1064960 6451200 11202560 283914240 289325056
31	1064960 6451200 11595776 284041216 289423360
32	1064960 6451200 11857920 284033024 289419264
33	1064960 6451200 12120064 284164096 289230848
34	1064960 6451200 12382208 284155904 289427456
35	1064960 6451200 12767232 284282880 289566720
36	1064960 6451200 13029376 284532736 289439744
37	1064960 6451200 13299712 284266496 289456128
38	1064960 6451200 13684736 284233728 289308672
39	1064960 6451200 13824000 284135424 289538048
40	1064960 6451200 14077952 284135424 289443840
41	1064960 6451200 14602240 284131328 289320960
42	1064960 6451200 14733312 284004352 289447936
43	1064960 6451200 15003648 283881472 289570816
44	1064960 6451200 15519744 284057600 289705984
45	1064960 6451200 15650816 284069888 289685504
46	1064960 6451200 15912960 284319744 289570816
47	1064960 6451200 16441344 284205056 289517568
48	1064960 6451200 16576512 284344320 289452032
49	1064960 6451200 16707584 284213248 289198080
50	1064960 6451200 17362944 284225536 289452032
51	1064960 6451200 17362944 284098560 289443840
52	1064960 6451200 18018304 284483584 289579008
53	1064960 6451200 18018304 284209152 289198080
54	1064960 6451200 18411520 284069888 289443840
55	1064960 6451200 18673664 284327936 289316864
56	1064960 6451200 19197952 284364800 289431552
57	1064960 6451200 19329024 284372992 289325056
58	1064960 6451200 19591168 284131328 289320960
59	1064960 6451200 19984384 284139520 289447936
60	1064960 6451200 20246528 284131328 289443840
61	1064960 6451200 20508672 284254208 289320960
62	1064960 6451200 20770816 284139520 289431552
63	1064960 6455296 21426176 284393472 289538048
64	1064960 6455296 21426176 284139520 289517568
65	1064960 6455296 21692416 284401664 289533952
66	1064960 6455296 22081536 284516352 289546240
67	1064960 6455296 22216704 284512256 289259520
68	1064960 6455296 22605824 284368896 289243136
69	1064960 6455296 22867968 284241920 289406976
70	1064960 6455296 23261184 284491776 289316864
71	1064960 6455296 23523328 284491776 289308672
72	1064960 6455296 23785472 284209152 289308672
73	1064960 6455296 24178688 284286976 289427456
74	1064960 6455296 24313856 284405760 289419264
75	1064960 6455296 24702976 284286976 289415168
76	1064960 6455296 25227264 284282880 289312768
77	1064960 6455296 25358336 284413952 289308672
78	1064960 6455296 25624576 284413952 289193984
79	1064960 6455296 25886720 284233728 289193984
80	1064960 6455296 26148864 284606464 289259520
81	1064960 6455296 26411008 284352512 289226752
82	1064960 6455296 26673152 284356608 289333248
83	1064960 6455296 26931200 284483584 289308672
84	1064960 6455296 27324416 284352512 289185792
85	1064960 6455296 27459584 284614656 289431552
86	1064960 6455296 27848704 284479488 289341440
87	1064960 6455296 28241920 284348416 289447936
88	1064960 6455296 28508160 284475392 289435648
89	1064960 6455296 28897280 284585984 289308672
90	1064960 6455296 29290496 284475392 289361920
91	1064960 6455296 29425664 284467200 289431552
92	1064960 6455296 29814784 284233728 289546240
93	1064960 6455296 30076928 284487680 289669120
94	1064960 6455296 30339072 284594176 289439744
95	1064960 6455296 30863360 284590080 289447936
96	1064960 6455296 30994432 284352512 289574912
97	1064960 6455296 31260672 284594176 289427456
98	1064960 6455296 31518720 284598272 289554432
99	1064960 6455296 32043008 284475392 289198080
100	1064960 6455296 32178176 284606464 289320960
101	1064960 6455296 32440320 284622848 289316864
102	1064960 6455296 32960512 284356608 289316864
103	1064960 6455296 33091584 284475392 289316864
104	1064960 6455296 33353728 284590080 289296384
105	1064960 6455296 33615872 284463104 289239040
106	1064960 6455296 34009088 284577792 289198080
107	1064960 6455296 34271232 284512256 289185792
108	1064960 6455296 34533376 284520448 289325056
109	1064960 6455296 35057664 284393472 289325056
110	1064960 6455296 35188736 284393472 289447936
111	1064960 6455296 35450880 284520448 289447936
112	1064960 6455296 35975168 284520448 289435648
113	1064960 6586368 36106240 284516352 289316864
114	1064960 6586368 36368384 284262400 289447936
115	1064960 6721536 36892672 284397568 289447936
116	1064960 6602752 37023744 284397568 289447936
117	1064960 6475776 37416960 284651520 289439744
118	1064960 6475776 37810176 284672000 289193984
119	1064960 6475776 37941248 284524544 289435648
120	1064960 6610944 38465536 284422144 289435648
121	1064960 6631424 38596608 284176384 289435648
122	1064960 6508544 38862848 284418048 289554432
123	1064960 6508544 39251968 284278784 289415168
124	1064960 6508544 39514112 284426240 289538048
125	1064960 6508544 39907328 284176384 289198080
126	1064960 6508544 40038400 284426240 289570816
127	1064960 6508544 40300544 284176384 289439744
128	1064960 6508544 40824832 284299264 289574912
129	1064960 6512640 40955904 284418048 289566720
130	1064960 6512640 41222144 284676096 289423360
131	1064960 6512640 41742336 284536832 289280000
132	1064960 6512640 42004480 284532736 289431552
133	1064960 6512640 42266624 284536832 289558528
134	1064960 6512640 42659840 284409856 289419264
135	1064960 6512640 42921984 284409856 289320960
136	1064960 6512640 43315200 284663808 289447936
137	1064960 6512640 44101632 284409856 289435648
138	1064960 6512640 43978752 284536832 289447936
139	1064960 6512640 44240896 284422144 289193984
140	1064960 6512640 44634112 284758016 289255424
141	1064960 6512640 44896256 284639232 289443840
142	1064960 6512640 45158400 284499968 289562624
143	1064960 6512640 45813760 284639232 289538048
144	1064960 6512640 45813760 284897280 289431552
145	1064960 6512640 46469120 284532736 289415168
146	1064960 6512640 46600192 284401664 289558528
147	1064960 6512640 46862336 284413952 289550336
148	1064960 6512640 47124480 284536832 289538048
149	1064960 6512640 47517696 284413952 289431552
150	1064960 6512640 47779840 284405760 289325056
151	1064960 6512640 48041984 284667904 289574912
152	1064960 6512640 48566272 284532736 289320960
153	1064960 6512640 48697344 284520448 289570816
154	1064960 6512640 49090560 284409856 289316864
155	1064960 6512640 49614848 284536832 289443840
156	1064960 6512640 49745920 284663808 289693696
157	1064960 6512640 50008064 284422144 289566720
158	1064960 6512640 50401280 284549120 289685504
159	1064960 6512640 50794496 284528640 289566720
160	1064960 6512640 50925568 284577792 289550336
161	1064960 6512640 51318784 284753920 289566720
162	1064960 6512640 51712000 284749824 289308672
163	1064960 6512640 52105216 284631040 289308672
164	1064960 6512640 52236288 284622848 289431552
