1	0 0 0 0 71
2	0 0 9 13 77
3	0 0 11 20 86
4	0 2 9 19 84
5	0 3 15 47 188
6	0 1 9 55 128
7	0 5 9 45 126
8	0 7 15 74 135
9	0 7 34 79 148
10	0 8 32 76 109
11	0 7 31 66 116
12	0 8 31 79 125
13	0 5 9 33 143
14	0 7 29 68 154
15	0 8 28 66 138
16	0 7 39 71 141
17	0 7 39 52 142
18	0 7 35 66 147
19	0 7 26 58 153
20	0 8 24 73 140
21	0 8 11 51 144
22	0 7 34 57 151
23	0 7 36 68 149
24	0 6 13 63 150
25	0 7 12 66 143
26	0 11 37 84 151
27	0 8 32 68 149
28	0 9 38 70 137
29	0 8 33 63 143
30	0 9 25 68 146
31	0 6 8 47 147
32	0 8 26 84 149
33	0 8 42 76 147
34	0 7 45 83 149
35	0 7 45 71 150
36	0 6 17 63 145
37	0 7 29 69 144
38	0 7 27 48 149
39	0 6 25 84 153
40	0 7 43 62 148
41	0 6 22 47 151
42	0 8 28 53 150
43	0 8 37 59 145
44	0 6 26 75 149
45	0 8 14 78 152
46	0 6 19 87 150
47	0 8 25 46 152
48	0 7 45 65 149
49	0 8 34 88 154
50	0 7 10 49 145
51	0 8 39 71 143
52	0 9 38 77 149
53	0 7 29 71 151
54	0 7 27 75 154
55	0 8 46 58 145
56	0 6 23 51 145
57	0 6 39 78 147
58	0 6 27 61 147
59	0 8 27 72 149
60	0 8 35 73 149
61	0 7 40 82 152
62	0 6 35 75 150
63	0 7 38 87 144
64	0 7 9 43 130
65	0 5 35 85 135
66	0 6 28 56 133
67	0 7 36 81 136
68	0 8 25 51 139
69	0 6 49 82 136
70	0 7 31 63 131
71	0 6 9 61 138
72	0 6 23 57 136
73	0 6 9 63 134
74	0 6 24 80 137
75	0 6 26 68 134
76	0 6 33 62 134
77	0 6 33 72 133
78	0 6 30 54 135
79	0 7 30 79 138
80	0 6 19 52 136
81	0 6 31 69 134
82	0 8 37 66 138
83	0 6 36 75 134
84	0 5 42 86 137
85	0 5 29 54 137
86	0 7 29 54 135
87	0 8 28 57 137
88	0 8 26 78 137
89	0 6 14 65 137
90	0 7 36 67 133
91	0 7 28 62 141
92	0 7 32 70 143
93	0 9 24 47 151
94	0 7 36 63 150
95	0 7 39 76 144
96	0 7 38 56 147
97	0 6 28 62 151
98	0 8 34 65 142
99	0 6 40 79 145
100	0 8 23 69 151
101	0 7 47 81 148
102	0 7 12 64 148
103	0 7 11 55 150
104	0 7 25 85 148
105	0 7 37 73 151
106	0 8 48 81 150
107	0 6 31 47 149
108	0 6 18 76 147
109	0 8 25 55 150
110	0 7 36 72 152
111	0 8 44 83 149
112	0 7 50 82 150
113	0 8 46 77 152
114	0 6 32 72 151
115	0 6 25 56 145
116	0 8 33 65 151
117	0 9 46 77 151
118	0 8 25 56 147
119	0 7 33 67 155
120	0 7 52 75 151
121	0 7 26 65 154
122	0 7 35 68 144
123	0 7 28 76 146
124	0 6 30 79 151
125	0 8 34 86 152
126	0 7 23 52 148
127	0 10 34 67 149
128	0 6 9 72 151
129	0 8 16 68 149
130	0 9 38 78 144
131	0 6 30 77 145
132	0 8 37 54 151
133	0 8 41 74 146
134	0 7 16 57 150
135	0 7 38 75 146
136	0 7 40 84 148
137	0 8 42 79 151
138	0 9 46 69 150
139	0 5 13 59 148
140	0 6 28 66 151
141	0 7 45 63 146
142	0 8 24 62 146
143	0 8 34 82 148
144	0 8 36 86 147
145	0 8 39 84 152
146	0 8 31 62 149
147	0 7 38 75 146
148	0 7 16 50 148
149	0 8 35 76 151
150	0 6 19 57 148
151	0 7 30 75 142
152	0 7 13 72 151
153	0 6 14 57 147
154	0 7 44 63 148
155	0 6 27 76 144
