1	90 180 1382 1550 1682658
2	0 160 168 340 6716326
3	0 90 250 6166 7551036
4	0 0 90 5400 5222166
5	0 0 0 70554 3906868
6	0 70 70 89760 2853764
7	0 0 70 102696 3945392
8	0 0 1746 99000 3604516
9	0 0 604 100650 3857144
10	0 70 1278 79266 3634814
11	0 0 70 98344 2977920
12	0 0 0 85668 2971614
13	0 0 1274 104082 2086846
14	0 0 1142 110352 2715424
15	0 0 538 75042 2174244
16	0 0 0 89166 2722780
17	0 0 0 76494 2142020
18	0 0 0 72204 1607078
19	0 0 0 87318 2146574
20	0 0 0 162228 2111062
21	0 0 6156 204535 2039416
22	0 0 76470 938218 1827882
23	0 0 72666 1097456 2369818
24	0 0 83678 820292 1963128
25	0 0 89412 1200816 1875609
26	0 0 88364 1035046 1729450
27	0 0 97794 956138 2263856
28	0 52732 646555 1199405 1624020
29	0 80848 858881 1489008 1999344
30	0 77474 724462 1549800 1966504
31	0 78794 873100 1386052 2021290
32	0 84726 707329 1317198 1718725
33	0 75486 818775 1347742 2040512
34	0 81038 721298 1663996 2407168
35	0 158250 847716 1562789 3689949
36	0 109740 1187212 1815721 5065916
37	0 165650 1252320 1750540 8678701
38	0 182802 1257944 1500105 9595929
39	0 226238 983682 1791824 9766263
40	0 239892 1115434 1391120 9794252
41	0 284450 1131062 1536558 6829803
42	0 258322 1272260 1505264 9721663
43	0 294152 1186306 1779640 8009837
44	0 160956 995511 1571108 10050915
45	0 160230 919439 1725839 9175826
46	0 115482 1307314 1534628 7322813
47	0 170906 1048850 1560288 8482010
48	0 147492 1386246 1697064 5258082
49	0 179510 1090489 1688317 6859362
50	42 165246 1107447 1658210 8386093
51	1056 164264 1207843 1526525 10162952
52	444 167300 1166224 1509390 8807896
53	518 148020 1496118 1936442 7710988
54	518 154422 1356652 1688356 7885360
55	444 152912 1051084 1672691 7212983
56	592 169214 1250102 1566284 8272674
57	444 194954 1168470 1642140 10185342
58	518 211108 1110775 1547731 8968556
59	518 167168 1092107 1755712 6415155
60	518 174428 1073360 1421085 6409605
61	444 162812 1067474 1714586 9111979
62	518 177110 1277782 1682168 6293301
63	518 158588 923136 1572869 9618406
64	518 155280 1146880 1496167 7124292
65	518 150264 1240862 1564193 9428558
66	518 193800 1053848 1515312 10172462
67	444 163728 1242650 1401661 8522465
68	444 211256 1093098 1608079 6290424
69	518 154934 1186742 1470134 8551510
70	444 146378 1190383 1622398 9740793
