1	0 0 0 0 19
2	0 1 8 46 126
3	0 5 13 49 118
4	0 4 12 47 86
5	0 5 12 53 128
6	0 5 17 45 129
7	0 3 9 54 131
8	0 5 12 57 130
9	0 5 28 84 130
10	0 6 53 72 132
11	0 7 44 85 132
12	0 4 25 83 134
13	0 8 48 68 129
14	0 7 36 81 128
15	0 9 47 75 131
16	0 5 42 56 135
17	0 6 29 81 129
18	0 4 27 84 133
19	0 8 27 59 128
20	0 6 50 76 130
21	0 6 23 63 128
22	0 6 34 77 133
23	0 6 39 77 131
24	0 6 43 85 128
25	0 7 57 76 131
26	0 8 42 59 130
27	0 7 44 75 133
28	0 8 62 84 128
29	0 7 48 85 131
30	0 8 57 91 130
31	0 5 31 82 131
32	0 7 28 82 129
33	0 5 39 85 129
34	0 7 47 69 130
35	0 7 48 88 128
36	0 5 36 64 128
37	0 8 39 74 131
38	0 8 34 92 126
39	0 5 54 84 134
40	0 7 25 77 132
41	0 5 36 65 129
42	0 7 39 84 130
43	0 5 54 95 127
44	0 6 32 67 130
45	0 5 31 77 127
46	0 7 47 83 130
47	0 5 40 72 134
48	0 7 55 71 129
49	0 8 48 87 130
50	0 6 53 88 131
51	0 7 35 74 130
52	0 8 46 86 129
53	0 7 34 93 132
54	0 6 37 76 129
55	0 6 57 82 134
56	0 8 61 87 126
57	0 8 55 86 129
58	0 6 28 78 133
59	0 6 45 71 128
60	0 7 42 66 131
61	0 6 27 81 130
62	0 8 44 76 133
63	0 6 43 68 130
64	0 6 52 74 132
65	0 5 46 82 127
66	0 5 58 84 129
67	0 8 58 95 130
68	0 5 32 80 131
69	0 5 64 93 130
70	0 7 24 65 131
71	0 5 31 66 126
72	0 7 38 61 130
73	0 7 43 89 128
74	0 5 43 77 132
75	0 5 39 84 128
76	0 5 35 70 131
77	0 5 38 73 130
78	0 6 26 95 132
79	0 5 38 87 132
80	0 7 43 69 127
81	0 5 37 79 133
82	0 5 64 94 127
83	0 7 35 72 131
84	0 7 44 74 131
85	0 5 41 89 129
86	0 6 26 77 128
87	0 8 61 82 129
88	0 6 45 93 129
89	0 5 45 81 134
90	0 5 35 85 128
91	0 8 36 74 126
92	0 8 54 93 131
93	0 7 31 85 129
